"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 23 13:45:05 GMT 2023","Thu Mar 23 13:45:07 GMT 2023","2747","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории -appium должна содержаться issue c id 105 и с name: Add custom condition and collection condition for validation",""
"passed","Thu Mar 23 13:44:34 GMT 2023","Thu Mar 23 13:44:41 GMT 2023","6813","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории selenide должна содержаться issue c id 2220 и с name: Feature request:  Condition.innerText() / Condition.innerHtml()",""
"passed","Thu Mar 23 13:45:00 GMT 2023","Thu Mar 23 13:45:02 GMT 2023","2373","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории selenide должна содержаться issue c id 2205 и с name: Add should(Condition.startsWithText()) and should(Condition.endsWithText())",""
"passed","Thu Mar 23 13:45:22 GMT 2023","Thu Mar 23 13:45:25 GMT 2023","3191","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории -appium должна содержаться issue c id 105 и с name: Add custom condition and collection condition for validation",""
"passed","Thu Mar 23 13:45:19 GMT 2023","Thu Mar 23 13:45:22 GMT 2023","3145","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории -appium должна содержаться issue c id 110 и с name: Selenide trying to find element multiple time for logging purpose",""
"passed","Thu Mar 23 13:44:54 GMT 2023","Thu Mar 23 13:44:57 GMT 2023","3350","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории selenide должна содержаться issue c id 2220 и с name: Feature request:  Condition.innerText() / Condition.innerHtml()",""
"passed","Thu Mar 23 13:45:09 GMT 2023","Thu Mar 23 13:45:13 GMT 2023","3227","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории selenide должна содержаться issue c id 2220 и с name: Feature request:  Condition.innerText() / Condition.innerHtml()",""
"passed","Thu Mar 23 13:44:41 GMT 2023","Thu Mar 23 13:44:44 GMT 2023","2262","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории selenide должна содержаться issue c id 2213 и с name: Implement method inNewBrowser(lambda)",""
"passed","Thu Mar 23 13:45:13 GMT 2023","Thu Mar 23 13:45:16 GMT 2023","3089","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории selenide должна содержаться issue c id 2213 и с name: Implement method inNewBrowser(lambda)",""
"passed","Thu Mar 23 13:44:57 GMT 2023","Thu Mar 23 13:45:00 GMT 2023","2469","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории selenide должна содержаться issue c id 2213 и с name: Implement method inNewBrowser(lambda)",""
"passed","Thu Mar 23 13:44:51 GMT 2023","Thu Mar 23 13:44:54 GMT 2023","2992","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории -appium должна содержаться issue c id 102 и с name: Wrapper method in Selenide Appium to switchToSpecificContext",""
"passed","Thu Mar 23 13:45:16 GMT 2023","Thu Mar 23 13:45:19 GMT 2023","2925","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории selenide должна содержаться issue c id 2205 и с name: Add should(Condition.startsWithText()) and should(Condition.endsWithText())",""
"passed","Thu Mar 23 13:45:25 GMT 2023","Thu Mar 23 13:45:28 GMT 2023","2904","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории -appium должна содержаться issue c id 102 и с name: Wrapper method in Selenide Appium to switchToSpecificContext",""
"passed","Thu Mar 23 13:44:46 GMT 2023","Thu Mar 23 13:44:49 GMT 2023","2470","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории -appium должна содержаться issue c id 110 и с name: Selenide trying to find element multiple time for logging purpose",""
"passed","Thu Mar 23 13:45:07 GMT 2023","Thu Mar 23 13:45:09 GMT 2023","2148","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории -appium должна содержаться issue c id 102 и с name: Wrapper method in Selenide Appium to switchToSpecificContext",""
"passed","Thu Mar 23 13:44:44 GMT 2023","Thu Mar 23 13:44:46 GMT 2023","2487","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории selenide должна содержаться issue c id 2205 и с name: Add should(Condition.startsWithText()) and should(Condition.endsWithText())",""
"passed","Thu Mar 23 13:45:02 GMT 2023","Thu Mar 23 13:45:05 GMT 2023","2265","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории -appium должна содержаться issue c id 110 и с name: Selenide trying to find element multiple time for logging purpose",""
"passed","Thu Mar 23 13:44:49 GMT 2023","Thu Mar 23 13:44:51 GMT 2023","2499","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории -appium должна содержаться issue c id 105 и с name: Add custom condition and collection condition for validation",""
