"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 23 14:05:49 GMT 2023","Thu Mar 23 14:05:52 GMT 2023","3458","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории -appium должна содержаться issue c id 102 и с name: Wrapper method in Selenide Appium to switchToSpecificContext",""
"passed","Thu Mar 23 14:05:10 GMT 2023","Thu Mar 23 14:05:13 GMT 2023","2455","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории -appium должна содержаться issue c id 110 и с name: Selenide trying to find element multiple time for logging purpose",""
"passed","Thu Mar 23 14:05:05 GMT 2023","Thu Mar 23 14:05:08 GMT 2023","2436","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории selenide должна содержаться issue c id 2213 и с name: Implement method inNewBrowser(lambda)",""
"passed","Thu Mar 23 14:05:08 GMT 2023","Thu Mar 23 14:05:10 GMT 2023","2375","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории selenide должна содержаться issue c id 2205 и с name: Add should(Condition.startsWithText()) and should(Condition.endsWithText())",""
"passed","Thu Mar 23 14:05:46 GMT 2023","Thu Mar 23 14:05:49 GMT 2023","2814","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории -appium должна содержаться issue c id 105 и с name: Add custom condition and collection condition for validation",""
"passed","Thu Mar 23 14:05:43 GMT 2023","Thu Mar 23 14:05:46 GMT 2023","2840","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории -appium должна содержаться issue c id 110 и с name: Selenide trying to find element multiple time for logging purpose",""
"passed","Thu Mar 23 14:05:34 GMT 2023","Thu Mar 23 14:05:37 GMT 2023","3074","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории selenide должна содержаться issue c id 2220 и с name: Feature request:  Condition.innerText() / Condition.innerHtml()",""
"passed","Thu Mar 23 14:05:32 GMT 2023","Thu Mar 23 14:05:34 GMT 2023","2271","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории -appium должна содержаться issue c id 102 и с name: Wrapper method in Selenide Appium to switchToSpecificContext",""
"passed","Thu Mar 23 14:05:13 GMT 2023","Thu Mar 23 14:05:15 GMT 2023","2546","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории -appium должна содержаться issue c id 105 и с name: Add custom condition and collection condition for validation",""
"passed","Thu Mar 23 14:05:29 GMT 2023","Thu Mar 23 14:05:32 GMT 2023","2756","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории -appium должна содержаться issue c id 105 и с name: Add custom condition and collection condition for validation",""
"passed","Thu Mar 23 14:05:23 GMT 2023","Thu Mar 23 14:05:27 GMT 2023","3731","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории selenide должна содержаться issue c id 2205 и с name: Add should(Condition.startsWithText()) and should(Condition.endsWithText())",""
"passed","Thu Mar 23 14:05:20 GMT 2023","Thu Mar 23 14:05:23 GMT 2023","3159","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории selenide должна содержаться issue c id 2213 и с name: Implement method inNewBrowser(lambda)",""
"passed","Thu Mar 23 14:05:15 GMT 2023","Thu Mar 23 14:05:17 GMT 2023","1991","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории -appium должна содержаться issue c id 102 и с name: Wrapper method in Selenide Appium to switchToSpecificContext",""
"passed","Thu Mar 23 14:04:58 GMT 2023","Thu Mar 23 14:05:05 GMT 2023","7191","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesListener","checkIssuesNamesListener(String, String, String) В репозитории selenide должна содержаться issue c id 2220 и с name: Feature request:  Condition.innerText() / Condition.innerHtml()",""
"passed","Thu Mar 23 14:05:17 GMT 2023","Thu Mar 23 14:05:20 GMT 2023","2593","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории selenide должна содержаться issue c id 2220 и с name: Feature request:  Condition.innerText() / Condition.innerHtml()",""
"passed","Thu Mar 23 14:05:40 GMT 2023","Thu Mar 23 14:05:43 GMT 2023","2838","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории selenide должна содержаться issue c id 2205 и с name: Add should(Condition.startsWithText()) and should(Condition.endsWithText())",""
"passed","Thu Mar 23 14:05:27 GMT 2023","Thu Mar 23 14:05:29 GMT 2023","2546","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesLambda","checkIssuesNamesLambda(String, String, String) В репозитории -appium должна содержаться issue c id 110 и с name: Selenide trying to find element multiple time for logging purpose",""
"passed","Thu Mar 23 14:05:37 GMT 2023","Thu Mar 23 14:05:40 GMT 2023","2910","","qa.guru.tests.IssueCheckTest","","qa.guru.tests.IssueCheckTest","checkIssuesNamesWebSteps","checkIssuesNamesWebSteps(String, String, String) В репозитории selenide должна содержаться issue c id 2213 и с name: Implement method inNewBrowser(lambda)",""
